time_iso8601,stars_cumulative
2025-12-01 00:00:00+00:00,2
2025-12-04 00:00:00+00:00,3
2025-12-10 00:00:00+00:00,4
2025-12-11 00:00:00+00:00,5
2025-12-12 00:00:00+00:00,6
2025-12-13 00:00:00+00:00,7
2025-12-24 00:00:00+00:00,8
2026-01-24 00:00:00+00:00,10
2026-06-13 00:00:00+00:00,11
2026-06-20 00:00:00+00:00,12
2026-06-21 00:00:00+00:00,13
2026-06-22 00:00:00+00:00,14
2026-06-23 00:00:00+00:00,16
2026-06-29 00:00:00+00:00,17
