time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,33,10,0,0
2026-04-28 00:00:00+00:00,17,7,3,2
2026-04-29 00:00:00+00:00,9,4,9,4
2026-04-30 00:00:00+00:00,38,12,15,2
2026-05-01 00:00:00+00:00,31,9,0,0
2026-05-02 00:00:00+00:00,30,10,0,0
2026-05-03 00:00:00+00:00,43,15,2,2
2026-05-04 00:00:00+00:00,16,6,3,2
2026-05-05 00:00:00+00:00,23,7,0,0
2026-05-06 00:00:00+00:00,13,7,1,1
2026-05-07 00:00:00+00:00,10,4,0,0
2026-05-08 00:00:00+00:00,20,9,12,1
2026-05-09 00:00:00+00:00,32,11,4,2
2026-05-10 00:00:00+00:00,29,8,1,1
