url_path,views_total,views_unique
/grp-bork/porTraits,31,20
/grp-bork/porTraits/blob/main/assets/traits_info.json,11,1
/grp-bork/porTraits/blob/main/main.nf,11,1
/grp-bork/porTraits/blob/main/assets/traits_harmonized.json,8,1
/grp-bork/porTraits/blob/main/config/params.yml,5,2
/grp-bork/porTraits/blob/main/assets/versions.json,5,1
/grp-bork/porTraits/blob/main/portraits/modules/bacdive.nf,5,1
/grp-bork/porTraits/blob/main/README.md,4,2
/grp-bork/porTraits/blob/main/bin/KO2MICROPHERRET.py,3,1
/grp-bork/porTraits/blob/main/bin/PFAM2BacDive-AI.py,3,1
