time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,8,4,39,3
2026-07-29 00:00:00+00:00,13,8,5,2
2026-07-30 00:00:00+00:00,8,4,1,1
2026-07-31 00:00:00+00:00,4,3,3,1
2026-08-01 00:00:00+00:00,2,2,7,4
2026-08-02 00:00:00+00:00,7,2,2,1
2026-08-03 00:00:00+00:00,6,6,3,3
2026-08-04 00:00:00+00:00,3,3,23,1
2026-08-05 00:00:00+00:00,16,6,0,0
2026-08-06 00:00:00+00:00,8,3,12,2
2026-08-07 00:00:00+00:00,15,6,2,2
2026-08-08 00:00:00+00:00,6,4,10,2
2026-08-09 00:00:00+00:00,3,2,1,1
2026-08-10 00:00:00+00:00,12,6,1,1
