url_path,views_total,views_unique
/grp-bork/porTraits,22,12
/grp-bork/porTraits/issues,5,1
/grp-bork/porTraits/blob/main/config/params.yml,3,2
/grp-bork/porTraits/tree/main/assets,3,1
/grp-bork/porTraits/blob/main/assets/traits_info.json,2,1
/grp-bork/porTraits/blob/main/main.nf,2,1
/grp-bork/porTraits/tree/main/portraits/modules,2,1
/grp-bork/porTraits/blob/main/assets/traits_harmonized.json,1,1
/grp-bork/porTraits/blob/main/nextflow.config,1,1
/grp-bork/porTraits/blob/main/portraits/modules/bacdive.nf,1,1
