time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-27 00:00:00+00:00,14,6,1,1
2026-03-28 00:00:00+00:00,14,13,5,1
2026-03-29 00:00:00+00:00,8,4,0,0
2026-03-30 00:00:00+00:00,3,3,35,1
2026-03-31 00:00:00+00:00,10,5,2,2
2026-04-01 00:00:00+00:00,4,4,0,0
2026-04-02 00:00:00+00:00,16,8,2,2
2026-04-03 00:00:00+00:00,5,5,1,1
2026-04-04 00:00:00+00:00,15,7,1,1
2026-04-05 00:00:00+00:00,10,5,6,1
2026-04-06 00:00:00+00:00,10,5,0,0
2026-04-07 00:00:00+00:00,8,7,8,2
2026-04-08 00:00:00+00:00,16,6,0,0
2026-04-09 00:00:00+00:00,10,8,5,3
