time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,29,14,1,1
2026-05-24 00:00:00+00:00,15,6,3,3
2026-05-25 00:00:00+00:00,33,8,43,5
2026-05-26 00:00:00+00:00,8,3,3,3
2026-05-27 00:00:00+00:00,11,6,2,1
2026-05-28 00:00:00+00:00,10,5,14,4
2026-05-29 00:00:00+00:00,32,13,3,3
2026-05-30 00:00:00+00:00,10,4,8,2
2026-05-31 00:00:00+00:00,9,4,1,1
2026-06-01 00:00:00+00:00,26,12,0,0
2026-06-02 00:00:00+00:00,4,4,9,4
2026-06-03 00:00:00+00:00,29,10,7,2
2026-06-04 00:00:00+00:00,33,13,2,2
2026-06-05 00:00:00+00:00,11,5,1,1
