url_path,views_total,views_unique
/grp-bork/porTraits,14,10
/grp-bork/porTraits/tree/main/portraits/modules,5,3
/grp-bork/porTraits/tree/main,5,2
/grp-bork/porTraits/blob/main/assets/traits_info.json,4,3
/grp-bork/porTraits/tree/main/docs,3,3
/grp-bork/porTraits/tree/main/portraits,3,3
/grp-bork/porTraits/blob/main/bin/KO2MICROPHERRET.py,3,1
/grp-bork/porTraits/commit/d53170a776752972e03cce4e447f411861fee5e7,3,1
/grp-bork/porTraits/issues,3,1
/grp-bork/porTraits/blob/main/assets/traits_harmonized.json,2,2
