time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,20,10,3,3
2026-06-12 00:00:00+00:00,18,8,4,4
2026-06-13 00:00:00+00:00,26,10,0,0
2026-06-14 00:00:00+00:00,36,10,1,1
2026-06-15 00:00:00+00:00,22,8,0,0
2026-06-16 00:00:00+00:00,32,10,0,0
2026-06-17 00:00:00+00:00,29,10,1,1
2026-06-18 00:00:00+00:00,20,5,2,2
2026-06-19 00:00:00+00:00,29,9,1,1
2026-06-20 00:00:00+00:00,60,14,1,1
2026-06-21 00:00:00+00:00,45,14,14,6
2026-06-22 00:00:00+00:00,37,10,8,4
2026-06-23 00:00:00+00:00,42,11,4,4
2026-06-24 00:00:00+00:00,25,10,0,0
