time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,33,13,2,2
2026-06-05 00:00:00+00:00,11,5,1,1
2026-06-06 00:00:00+00:00,7,4,1,1
2026-06-07 00:00:00+00:00,20,6,3,3
2026-06-08 00:00:00+00:00,15,6,13,7
2026-06-09 00:00:00+00:00,27,12,2,2
2026-06-10 00:00:00+00:00,15,9,2,2
2026-06-11 00:00:00+00:00,20,10,3,3
2026-06-12 00:00:00+00:00,18,8,4,4
2026-06-13 00:00:00+00:00,26,10,0,0
2026-06-14 00:00:00+00:00,36,10,1,1
2026-06-15 00:00:00+00:00,22,8,0,0
2026-06-16 00:00:00+00:00,32,10,0,0
2026-06-17 00:00:00+00:00,29,10,1,1
