time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,27,10,17,2
2026-04-21 00:00:00+00:00,47,14,1,1
2026-04-22 00:00:00+00:00,40,14,3,3
2026-04-23 00:00:00+00:00,87,43,3,2
2026-04-24 00:00:00+00:00,74,28,7,3
2026-04-25 00:00:00+00:00,62,21,0,0
2026-04-26 00:00:00+00:00,71,16,0,0
2026-04-27 00:00:00+00:00,33,10,0,0
2026-04-28 00:00:00+00:00,17,7,3,2
2026-04-29 00:00:00+00:00,9,4,9,4
2026-04-30 00:00:00+00:00,38,12,15,2
2026-05-01 00:00:00+00:00,31,9,0,0
2026-05-02 00:00:00+00:00,30,10,0,0
2026-05-03 00:00:00+00:00,43,15,2,2
