time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,10,4,0,0
2026-05-08 00:00:00+00:00,20,9,12,1
2026-05-09 00:00:00+00:00,32,11,4,2
2026-05-10 00:00:00+00:00,29,8,1,1
2026-05-11 00:00:00+00:00,32,11,7,2
2026-05-12 00:00:00+00:00,29,8,1,1
2026-05-13 00:00:00+00:00,31,8,4,2
2026-05-14 00:00:00+00:00,20,10,0,0
2026-05-15 00:00:00+00:00,20,8,13,2
2026-05-16 00:00:00+00:00,11,6,0,0
2026-05-17 00:00:00+00:00,34,9,0,0
2026-05-18 00:00:00+00:00,25,12,9,1
2026-05-19 00:00:00+00:00,10,5,3,1
2026-05-20 00:00:00+00:00,14,5,0,0
