url_path,views_total,views_unique
/grp-bork/porTraits,27,14
/grp-bork/porTraits/tree/main/.github/workflows,8,1
/grp-bork/porTraits/blob/main/.github/workflows/github-repo-stats.yml,4,1
/grp-bork/porTraits/blob/main/assets/traits_info.json,2,2
/grp-bork/porTraits/blob/main/docs/output.md,2,1
/grp-bork/porTraits/blob/main/nextflow.config,2,1
/grp-bork/porTraits/issues,2,1
/grp-bork/porTraits/releases,2,1
/grp-bork/porTraits/blob/main/README.md,1,1
/grp-bork/porTraits/blob/main/assets/traits_harmonized.json,1,1
